city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Twain,Plumas,1,95984,21,21,0.0,flat,10.5,up
Adin,Modoc,1,96006,20,16,25.0,up,220.0,up
Big Pine,Inyo,1,93513,20,23,-13.0,down,35.3,up
Dos Rios,Mendocino,1,95429,20,19,5.3,up,-9.5,down
Guinda,Yolo,1,95637,20,19,5.3,up,26.7,up
Navarro,Mendocino,1,95463,20,18,11.1,up,-10.0,down
Riverbank,Stanislaus,1,95367,20,18,11.1,up,50.0,up
Gerber,Tehama,1,96035,19,17,11.8,up,30.8,up
Orange Cove,Fresno,1,93646,19,17,11.8,up,21.4,up
Trona,San Bernardino,1,93562,19,19,0.0,flat,90.0,up
Vidal,San Bernardino,1,92280,19,22,-13.6,down,340.0,up
Chualar,Monterey,1,93925,18,19,-5.3,down,5.6,up
Colusa,Colusa,1,95932,18,16,12.5,up,60.0,up
Crescent Mills,Plumas,1,95934,18,18,0.0,flat,50.0,up
Deer Park,Napa,1,94576,18,20,-10.0,down,11.1,up
Escalon,San Joaquin,1,95320,18,17,5.9,up,70.0,up
Hydesville,Humboldt,1,95547,18,14,28.6,up,55.6,up
San Gregorio,San Mateo,1,94074,18,18,0.0,flat,-18.2,down
Terra Bella,Tulare,1,93270,18,19,-5.3,down,58.3,up
Avenal,Kings,1,93204,17,16,6.2,up,166.7,up
Farmersville,Tulare,1,93223,17,19,-10.5,down,18.8,up
Herald,Sacramento,1,95638,17,17,0.0,flat,142.9,up
North Palm Springs,Riverside,1,92258,17,17,0.0,flat,112.5,up
Piercy,Mendocino,1,95587,17,17,0.0,flat,13.3,up
Pixley,Tulare,1,93256,17,14,21.4,up,55.6,up
Rio Vista,Solano,1,94571,17,11,54.5,up,10.0,up
Acampo,San Joaquin,1,95220,16,15,6.7,up,66.7,up
Heber,Imperial,1,92249,16,13,23.1,up,44.4,up
Hinkley,San Bernardino,1,92347,16,15,6.7,up,15.4,up
Lake City,Modoc,1,96115,16,13,23.1,up,8.3,up
Lathrop,San Joaquin,1,95330,16,12,33.3,up,33.3,up
Lemon Cove,Tulare,1,93244,16,11,45.5,up,37.5,up
Playa Vista,Los Angeles,1,90094,16,14,14.3,up,133.3,up
Port Costa,Contra Costa,1,94569,16,13,23.1,up,18.2,up
Buttonwillow,Kern,1,93206,15,14,7.1,up,7.7,up
Delhi,Merced,1,95315,15,17,-11.8,down,30.8,up
Earlimart,Tulare,1,93219,15,10,50.0,up,42.9,up
Gridley,Butte,1,95948,15,12,25.0,up,33.3,up
Orick,Humboldt,1,95555,15,14,7.1,up,7.7,up
Winton,Merced,1,95388,15,15,0.0,flat,87.5,up
Canby,Modoc,1,96015,14,17,-17.6,down,13.3,up
Desert Center,Riverside,1,92239,14,13,7.7,up,116.7,up
Grenada,Siskiyou,1,96038,14,18,-22.2,down,20.0,up
Isleton,Sacramento,1,95641,14,13,7.7,up,62.5,up
Kingsburg,Fresno,1,93631,14,13,7.7,up,116.7,up
Tres Pinos,San Benito,1,95075,14,15,-6.7,down,50.0,up
Bodega,Sonoma,1,94922,13,19,-31.6,down,26.7,up
Calipatria,Imperial,1,92233,13,12,8.3,up,100.0,up
Campo Seco,Calaveras,1,95226,13,16,-18.8,down,0.0,flat
Davis Creek,Modoc,1,96108,13,16,-18.8,down,60.0,up
Freedom,Santa Cruz,1,95019,13,14,-7.1,down,180.0,up
Leggett,Mendocino,1,95585,13,17,-23.5,down,-15.0,down
Lemoore,Kings,1,93245,13,14,-7.1,down,0.0,flat
Lockwood,Monterey,1,93932,13,12,8.3,up,0.0,flat
Platina,Shasta,1,96076,13,10,30.0,up,-16.7,down
Tulelake,Siskiyou,1,96134,13,11,18.2,up,83.3,up
Weimar,Placer,1,95736,13,15,-13.3,down,-11.8,down
Annapolis,Sonoma,1,95412,12,15,-20.0,down,-6.2,down
Denair,Stanislaus,1,95316,12,10,20.0,up,100.0,up
Fowler,Fresno,1,93625,12,13,-7.7,down,116.7,up
Litchfield,Lassen,1,96117,12,13,-7.7,down,160.0,up
Live Oak,Sutter,1,95953,12,13,-7.7,down,85.7,up
Newman,Stanislaus,1,95360,12,10,20.0,up,25.0,up
Redcrest,Humboldt,1,95569,12,10,20.0,up,-37.5,down
Seeley,Imperial,1,92273,12,11,9.1,up,0.0,flat
Alviso,Santa Clara,1,95002,11,13,-15.4,down,225.0,up
Antelope,Sacramento,1,95843,11,12,-8.3,down,50.0,up
Bieber,Lassen,1,96009,11,8,37.5,up,33.3,up
Byron,Contra Costa,1,94514,11,7,57.1,up,16.7,up
Caruthers,Fresno,1,93609,11,10,10.0,up,11.1,up
Durham,Butte,1,95938,11,8,37.5,up,100.0,up
Hyampom,Trinity,1,96046,11,11,0.0,flat,0.0,flat
Valyermo,Los Angeles,1,93563,11,11,0.0,flat,10.0,up
Woody,Kern,1,93287,11,11,0.0,flat,22.2,up
Zenia,Trinity,1,95595,11,12,-8.3,down,-14.3,down
Alderpoint,Humboldt,1,95511,10,10,0.0,flat,-9.1,down
Arbuckle,Colusa,1,95912,10,7,42.9,up,250.0,up
Blocksburg,Humboldt,1,95514,10,13,-23.1,down,-7.1,down
Capay,Yolo,1,95607,10,10,0.0,flat,100.0,up
Dos Palos,Merced,1,93620,10,11,-9.1,down,57.1,up
Elk Creek,Glenn,1,95939,10,12,-16.7,down,-7.7,down
Gonzales,Monterey,1,93926,10,10,0.0,flat,66.7,up
Goodyears Bar,Sierra,1,95944,10,12,-16.7,down,9.1,up
Linden,San Joaquin,1,95236,10,11,-9.1,down,175.0,up
Lockeford,San Joaquin,1,95237,10,10,0.0,flat,233.3,up
Lookout,Modoc,1,96054,10,9,11.1,up,12.5,up
Parlier,Fresno,1,93648,10,11,-9.1,down,266.7,up
Scott Bar,Siskiyou,1,96085,10,10,0.0,flat,0.0,flat
Topaz,Mono,1,96133,10,10,0.0,flat,100.0,up
Alleghany,Sierra,1,95910,9,10,-10.0,down,-9.1,down
Alpaugh,Tulare,1,93201,9,7,28.6,up,-12.5,down
Branscomb,Mendocino,1,95417,9,9,0.0,flat,0.0,flat
Cutler,Tulare,1,93615,9,11,-18.2,down,83.3,up
Daggett,San Bernardino,1,92327,9,9,0.0,flat,200.0,up
Dixon,Solano,1,95620,9,14,-35.7,down,27.3,up
Elverta,Sacramento,1,95626,9,13,-30.8,down,30.0,up
Esparto,Yolo,1,95627,9,8,12.5,up,14.3,up
Fort Bidwell,Modoc,1,96112,9,10,-10.0,down,42.9,up
Gazelle,Siskiyou,1,96034,9,7,28.6,up,16.7,up
Hilmar,Merced,1,95324,9,10,-10.0,down,400.0,up
Hughson,Stanislaus,1,95326,9,10,-10.0,down,11.1,up
Rumsey,Yolo,1,95679,9,9,0.0,flat,-10.0,down
Shandon,San Luis Obispo,1,93461,9,7,28.6,up,133.3,up
Sunset Beach,Orange,1,90742,9,9,0.0,flat,80.0,up
Willows,Glenn,1,95988,9,7,28.6,up,16.7,up
Farmington,San Joaquin,1,95230,8,12,-33.3,down,20.0,up
Sultana,Tulare,1,93666,8,7,14.3,up,,new
Biggs,Butte,1,95917,7,5,40.0,up,25.0,up
Brooks,Yolo,1,95606,7,5,40.0,up,25.0,up
French Camp,San Joaquin,1,95231,7,8,-12.5,down,14.3,up
Ivanhoe,Tulare,1,93235,7,7,0.0,flat,75.0,up
Keyes,Stanislaus,1,95328,7,8,-12.5,down,60.0,up
Likely,Modoc,1,96116,7,8,-12.5,down,14.3,up
Olancha,Inyo,1,93549,7,5,40.0,up,66.7,up
Palo Verde,Imperial,1,92266,7,6,16.7,up,200.0,up
Standish,Lassen,1,96128,7,8,-12.5,down,60.0,up
Sutter,Sutter,1,95982,7,9,-22.2,down,350.0,up
Tecate,San Diego,1,91980,7,6,16.7,up,50.0,up
Winterhaven,Imperial,1,92283,7,5,40.0,up,150.0,up
Bryn Mawr,San Bernardino,1,92318,6,6,0.0,flat,50.0,up
Clements,San Joaquin,1,95227,6,8,-25.0,down,60.0,up
Eagleville,Modoc,1,96110,6,7,-14.3,down,75.0,up
Forks Of Salmon,Siskiyou,1,96031,6,7,-14.3,down,16.7,up
Graton,Sonoma,1,95444,6,3,100.0,up,0.0,flat
Johannesburg,Kern,1,93528,6,6,0.0,flat,20.0,up
Le Grand,Merced,1,95333,6,9,-33.3,down,80.0,up
Ocotillo,Imperial,1,92259,6,3,100.0,up,200.0,up
Princeton,Colusa,1,95970,6,7,-14.3,down,133.3,up
Ripon,San Joaquin,1,95366,6,7,-14.3,down,250.0,up
Riverdale,Fresno,1,93656,6,6,0.0,flat,50.0,up
Samoa,Humboldt,1,95564,6,6,0.0,flat,50.0,up
San Ardo,Monterey,1,93450,6,8,-25.0,down,14.3,up
Sequoia National Park,Tulare,1,93262,6,6,0.0,flat,-14.3,down
Waterford,Stanislaus,1,95386,6,12,-50.0,down,100.0,up
Westmorland,Imperial,1,92281,6,5,20.0,up,0.0,flat
Williams,Colusa,1,95987,6,7,-14.3,down,133.3,up
Armona,Kings,1,93202,5,5,0.0,flat,66.7,up
Crows Landing,Stanislaus,1,95313,5,4,25.0,up,300.0,up
Ducor,Tulare,1,93218,5,6,-16.7,down,100.0,up
Fulton,Sonoma,1,95439,5,5,0.0,flat,400.0,up
Lost Hills,Kern,1,93249,5,6,-16.7,down,0.0,flat
Moss Landing,Monterey,1,95039,5,5,0.0,flat,25.0,up
San Joaquin,Fresno,1,93660,5,6,-16.7,down,-14.3,down
Stratford,Kings,1,93266,5,4,25.0,up,,new
Tranquillity,Fresno,1,93668,5,4,25.0,up,33.3,up
Walnut Grove,Sacramento,1,95690,5,7,-28.6,down,16.7,up
Baker,San Bernardino,1,92309,4,5,-20.0,down,66.7,up
Benton,Mono,1,93512,4,4,0.0,flat,33.3,up
Clarksburg,Yolo,1,95612,4,2,100.0,up,100.0,up
Empire,Stanislaus,1,95319,4,4,0.0,flat,100.0,up
Kettleman City,Kings,1,93239,4,4,0.0,flat,100.0,up
Salton City,Imperial,1,92275,4,4,0.0,flat,33.3,up
Somes Bar,Siskiyou,1,95568,4,5,-20.0,down,-16.7,down
Stevinson,Merced,1,95374,4,2,100.0,up,-50.0,down
Woodbridge,San Joaquin,1,95258,4,4,0.0,flat,33.3,up
Dunnigan,Yolo,1,95937,3,2,50.0,up,100.0,up
El Nido,Merced,1,95317,3,3,0.0,flat,-57.1,down
Hamilton City,Glenn,1,95951,3,3,0.0,flat,-25.0,down
Hickman,Stanislaus,1,95323,3,2,50.0,up,0.0,flat
Laton,Fresno,1,93242,3,4,-25.0,down,100.0,up
Mather,Sacramento,1,95655,3,3,0.0,flat,200.0,up
Rio Oso,Sutter,1,95674,3,5,-40.0,down,66.7,up
San Lucas,Monterey,1,93954,3,4,-25.0,down,33.3,up
Tipton,Tulare,1,93272,3,3,0.0,flat,0.0,flat
Tomales,Marin,1,94971,3,2,50.0,up,-33.3,down
Cantua Creek,Fresno,1,93608,2,2,0.0,flat,100.0,up
Casmalia,Santa Barbara,1,93429,2,2,0.0,flat,-33.3,down
Coyote,Santa Clara,1,95013,2,3,-33.3,down,50.0,up
Del Rey,Fresno,1,93616,2,2,0.0,flat,-33.3,down
Fellows,Kern,1,93224,2,2,0.0,flat,0.0,flat
Harmony,San Luis Obispo,1,93435,2,2,0.0,flat,100.0,up
Meridian,Sutter,1,95957,2,1,100.0,up,0.0,flat
Planada,Merced,1,95365,2,4,-50.0,down,0.0,flat
Pleasant Grove,Sutter,1,95668,2,2,0.0,flat,-50.0,down
Randsburg,Kern,1,93554,2,1,100.0,up,,new
Spreckels,Monterey,1,93962,2,2,0.0,flat,0.0,flat
Surfside,Orange,1,90743,2,4,-50.0,down,0.0,flat
Tecopa,Inyo,1,92389,2,1,100.0,up,0.0,flat
Thornton,San Joaquin,1,95686,2,2,0.0,flat,,new
Tupman,Kern,1,93276,2,3,-33.3,down,0.0,flat
Victor,San Joaquin,1,95253,2,2,0.0,flat,,new
Wendel,Lassen,1,96136,2,2,0.0,flat,100.0,up
Ballico,Merced,1,95303,1,1,0.0,flat,0.0,flat
Belden,Plumas,1,95915,1,1,0.0,flat,-50.0,down
Biola,Fresno,1,93606,1,1,0.0,flat,0.0,flat
Courtland,Sacramento,1,95615,1,,,new,,new
Five Points,Fresno,1,93624,1,1,0.0,flat,-50.0,down
Fort Irwin,San Bernardino,1,92310,1,1,0.0,flat,,new
Huron,Fresno,1,93234,1,1,0.0,flat,0.0,flat
Knights Landing,Sutter,1,95645,1,1,0.0,flat,0.0,flat
Knightsen,Contra Costa,1,94548,1,,,new,,new
Ludlow,San Bernardino,1,92338,1,1,0.0,flat,0.0,flat
Madeline,Lassen,1,96119,1,1,0.0,flat,0.0,flat
Madison,Yolo,1,95653,1,,,new,,new
March Air Reserve Base,Riverside,1,92518,1,1,0.0,flat,0.0,flat
Nipton,San Bernardino,1,92364,1,1,0.0,flat,0.0,flat
Red Mountain,San Bernardino,1,93558,1,1,0.0,flat,0.0,flat
Shoshone,Inyo,1,92384,1,2,-50.0,down,,new
Termo,Lassen,1,96132,1,1,0.0,flat,-50.0,down
Traver,Tulare,1,93673,1,1,0.0,flat,,new
Valley Ford,Sonoma,1,94972,1,1,0.0,flat,,new
Vernalis,Stanislaus,1,95385,1,1,0.0,flat,-50.0,down
Zamora,Yolo,1,95698,1,1,0.0,flat,0.0,flat
