city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Belvedere Tiburon,Marin,1,94920,120,98,22.4,up,96.0,up
Hercules,Contra Costa,1,94547,120,101,18.8,up,94.2,up
North San Juan,Nevada,1,95960,120,114,5.3,up,8.6,up
Wishon,Madera,1,93669,120,120,0.0,flat,10.1,up
Diablo,Contra Costa,1,94528,119,116,2.6,up,123.1,up
Redway,Humboldt,1,95560,119,123,-3.3,down,9.8,up
Merced,Merced,3,"95348,95340,95341",118,107,10.3,up,64.6,up
Bridgeport,Mono,1,93517,117,118,-0.8,down,28.3,up
Windsor,Sonoma,1,95492,117,126,-7.1,down,77.5,up
Dutch Flat,Placer,1,95714,116,112,3.6,up,12.0,up
Fountain Valley,Orange,1,92708,115,121,-5.0,down,89.1,up
Mojave,Kern,1,93501,115,90,27.8,up,69.8,up
Pescadero,San Mateo,1,94060,114,108,5.6,up,11.3,up
Sunnyvale,Santa Clara,4,"94089,94087,94086,94085",114,109,4.6,up,137.0,up
Bodega Bay,Sonoma,1,94923,113,93,21.5,up,93.8,up
Keene,Kern,1,93531,113,112,0.9,up,4.7,up
Millbrae,San Mateo,1,94030,112,93,20.4,up,66.1,up
Raymond,Madera,1,93653,112,109,2.8,up,10.1,up
Whitmore,Shasta,1,96096,112,109,2.8,up,13.5,up
Crockett,Contra Costa,1,94525,111,99,12.1,up,106.2,up
Placentia,Orange,1,92870,111,111,0.0,flat,131.2,up
Morro Bay,San Luis Obispo,1,93442,110,101,8.9,up,110.4,up
Needles,San Bernardino,1,92363,110,102,7.8,up,131.8,up
Milpitas,Santa Clara,1,95035,109,110,-0.9,down,124.5,up
Myers Flat,Humboldt,1,95554,109,119,-8.4,down,-4.0,down
Valley Village,Los Angeles,1,91607,108,107,0.9,up,84.5,up
Costa Mesa,Orange,2,"92627,92626",106,110,-3.6,down,134.0,up
Gasquet,Del Norte,1,95543,106,106,0.0,flat,16.5,up
Igo,Shasta,1,96047,106,102,3.9,up,17.2,up
Occidental,Sonoma,1,95465,105,99,6.1,up,8.8,up
Oak Run,Shasta,1,96069,104,103,1.0,up,14.4,up
Thermal,Riverside,1,92274,104,99,5.1,up,90.4,up
Union City,Alameda,1,94587,104,103,1.0,up,94.3,up
Greenville,Plumas,1,95947,102,97,5.2,up,4.3,up
Rancho Cordova,Sacramento,2,"95670,95742",102,101,1.0,up,129.5,up
Rio Dell,Humboldt,1,95562,100,70,42.9,up,94.4,up
Camptonville,Yuba,1,95922,99,98,1.0,up,0.0,flat
Mill Creek,Tehama,1,96061,99,96,3.1,up,5.5,up
Brawley,Imperial,1,92227,98,95,3.2,up,17.3,up
Lemon Grove,San Diego,1,91945,98,92,6.5,up,130.0,up
Montgomery Creek,Shasta,1,96065,98,106,-7.5,down,11.6,up
Borrego Springs,San Diego,1,92004,97,94,3.2,up,100.0,up
Loyalton,Sierra,1,96118,97,87,11.5,up,29.9,up
Indian Wells,Riverside,1,92210,96,76,26.3,up,123.5,up
Mount Hermon,Santa Cruz,1,95041,95,93,2.2,up,27.4,up
San Miguel,San Luis Obispo,1,93451,95,85,11.8,up,25.0,up
Clipper Mills,Butte,1,95930,94,94,0.0,flat,-5.1,down
Downieville,Sierra,1,95936,94,97,-3.1,down,10.2,up
Fish Camp,Mariposa,1,93623,94,93,1.1,up,27.4,up
Jenner,Sonoma,1,95450,94,93,1.1,up,-3.1,down
