effective_date,geo_type,geo_id,geo_name,status,source_id
2025-03-06,zip,95061,95061,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95318,95318,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,90265,90265,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92086,92086,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92676,92676,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93226,93226,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93448,93448,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93633,93633,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93953,93953,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94940,94940,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95062,95062,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95321,95321,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,90290,90290,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92230,92230,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92678,92678,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93238,93238,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93449,93449,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93634,93634,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93954,93954,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94941,94941,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95063,95063,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95325,95325,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,90704,90704,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92239,92239,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93001,93001,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93240,93240,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93450,93450,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93636,93636,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93955,93955,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94942,94942,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95064,95064,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95327,95327,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91008,91008,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92256,92256,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93002,93002,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93243,93243,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93451,93451,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93637,93637,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93960,93960,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94945,94945,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95065,95065,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95329,95329,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91023,91023,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92266,92266,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93003,93003,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93251,93251,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93452,93452,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93638,93638,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93962,93962,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94946,94946,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95066,95066,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95335,95335,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91302,91302,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92282,92282,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93004,93004,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93252,93252,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93453,93453,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93641,93641,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94020,94020,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94947,94947,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95073,95073,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95338,95338,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91320,91320,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92285,92285,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93009,93009,distressed,cdi_distressed_geographies_2025
