zip,county,fair_plan_flag,cdi_flag,agree,fhsz_high_pct,total_policies_2023,fair_policies_current,penetration_pct,meets_criteria
90305,Los Angeles,0,0,1,0.0,3714,167,4.5,0
90401,Los Angeles,0,0,1,0.0,160,12,7.5,0
90402,Los Angeles,0,0,1,22.1,3240,168,5.2,0
90403,Los Angeles,0,0,1,0.0,1822,75,4.1,0
90404,Los Angeles,0,0,1,0.0,1594,71,4.5,0
90405,Los Angeles,0,0,1,0.0,4723,110,2.3,0
90501,Los Angeles,0,0,1,0.0,7780,174,2.2,0
90502,Los Angeles,0,0,1,0.0,3241,103,3.2,0
90503,Los Angeles,0,0,1,0.0,8457,57,0.7,0
90504,Los Angeles,0,0,1,0.0,7954,57,0.7,0
90505,Los Angeles,0,0,1,0.0,8685,82,0.9,0
90601,Los Angeles,0,0,1,51.0,7402,673,9.1,0
90602,Los Angeles,0,0,1,46.5,4494,310,6.9,0
90603,Los Angeles,0,0,1,7.4,5939,135,2.3,0
90604,Los Angeles,0,0,1,0.0,8847,157,1.8,0
90605,Los Angeles,0,0,1,21.0,8976,337,3.8,0
90606,Los Angeles,0,0,1,0.0,7117,267,3.8,0
90620,Orange,0,0,1,0.0,11202,80,0.7,0
90621,Orange,0,0,1,0.0,4008,102,2.5,0
90623,Orange,0,0,1,0.0,3882,22,0.6,0
90630,Orange,0,0,1,0.0,11051,87,0.8,0
90631,Orange,0,0,1,35.1,13732,644,4.7,0
90638,Los Angeles,0,0,1,1.5,12414,189,1.5,0
90640,Los Angeles,0,0,1,0.0,10379,505,4.9,0
90650,Los Angeles,0,0,1,0.0,20113,575,2.9,0
90660,Los Angeles,0,0,1,0.0,12906,561,4.3,0
90670,Los Angeles,0,0,1,0.0,3243,66,2.0,0
90680,Orange,0,0,1,0.0,3677,93,2.5,0
90701,Los Angeles,0,0,1,0.0,3488,97,2.8,0
90703,Los Angeles,0,0,1,0.0,13482,140,1.0,0
90704,Los Angeles,1,1,1,25.4,600,344,57.3,1
90706,Los Angeles,0,0,1,0.0,11935,468,3.9,0
90710,Los Angeles,0,0,1,0.0,4658,147,3.2,0
90712,Los Angeles,0,0,1,0.0,9600,73,0.8,0
90713,Los Angeles,0,0,1,0.0,9558,43,0.4,0
90715,Los Angeles,0,0,1,0.0,3660,97,2.7,0
90716,Los Angeles,0,0,1,0.0,1890,97,5.1,0
90717,Los Angeles,0,0,1,2.0,4625,91,2.0,0
90720,Orange,0,0,1,0.0,6008,28,0.5,0
90723,Los Angeles,0,0,1,0.0,6663,452,6.8,0
90731,Los Angeles,0,0,1,0.0,10502,346,3.3,0
90732,Los Angeles,0,0,1,4.9,5008,74,1.5,0
90740,Orange,0,0,1,0.0,4929,31,0.6,0
90742,Orange,0,0,1,0.0,332,7,2.1,0
90743,Orange,0,0,1,0.0,168,3,1.8,0
90744,Los Angeles,0,0,1,0.0,7337,418,5.7,0
90745,Los Angeles,0,0,1,0.0,10799,270,2.5,0
90746,Los Angeles,0,0,1,0.0,7210,295,4.1,0
90755,Los Angeles,0,0,1,0.0,1832,39,2.1,0
90802,Los Angeles,0,0,1,0.0,2262,206,9.1,0
90803,Los Angeles,0,0,1,0.0,7891,110,1.4,0
90804,Los Angeles,0,0,1,0.0,4694,171,3.6,0
90805,Los Angeles,0,0,1,0.0,15186,665,4.4,0
90806,Los Angeles,0,0,1,0.0,6320,290,4.6,0
90807,Los Angeles,0,0,1,0.0,7470,105,1.4,0
90808,Los Angeles,0,0,1,0.0,13527,52,0.4,0
90810,Los Angeles,0,0,1,0.0,6640,272,4.1,0
90813,Los Angeles,0,0,1,0.0,4277,399,9.3,0
90814,Los Angeles,0,0,1,0.0,3863,80,2.1,0
90815,Los Angeles,0,0,1,0.0,11135,42,0.4,0
91001,Los Angeles,0,0,1,31.9,11516,1025,8.9,0
91006,Los Angeles,0,0,1,19.0,8806,541,6.1,0
91007,Los Angeles,0,0,1,0.0,6182,258,4.2,0
91008,Los Angeles,1,1,1,87.1,369,140,37.9,1
91010,Los Angeles,0,0,1,48.8,5492,453,8.2,0
91011,Los Angeles,0,0,1,76.2,6569,1206,18.4,1
91016,Los Angeles,0,0,1,42.6,9670,785,8.1,0
91020,Los Angeles,0,0,1,100.0,1261,120,9.5,0
91024,Los Angeles,0,0,1,61.6,3492,549,15.7,1
91030,Los Angeles,0,0,1,0.3,5370,309,5.8,0
91040,Los Angeles,0,0,1,95.4,6131,1075,17.5,1
91042,Los Angeles,0,0,1,14.8,6763,1478,21.9,1
91101,Los Angeles,0,0,1,0.0,859,91,10.6,0
91103,Los Angeles,0,0,1,29.3,5091,500,9.8,0
91104,Los Angeles,0,0,1,0.0,9170,426,4.6,0
91105,Los Angeles,0,0,1,55.5,3083,348,11.3,0
91106,Los Angeles,0,0,1,0.0,3629,148,4.1,0
91107,Los Angeles,0,0,1,27.0,9467,693,7.3,0
91108,Los Angeles,0,0,1,0.0,4525,123,2.7,0
91201,Los Angeles,0,0,1,10.0,3787,289,7.6,0
91202,Los Angeles,0,0,1,26.1,3657,454,12.4,0
91203,Los Angeles,0,0,1,0.0,1092,92,8.4,0
91204,Los Angeles,0,0,1,0.0,993,74,7.5,0
91205,Los Angeles,0,0,1,0.6,3102,214,6.9,0
91206,Los Angeles,0,0,1,77.3,4500,955,21.2,1
91207,Los Angeles,0,0,1,88.0,2633,443,16.8,1
91208,Los Angeles,0,0,1,100.0,4568,1055,23.1,1
91210,Los Angeles,0,0,1,0.0,11,2,18.2,0
91214,Los Angeles,0,0,1,99.9,8917,1185,13.3,0
91301,Los Angeles,0,0,1,84.1,7164,1739,24.3,1
91302,Los Angeles,1,1,1,93.0,6962,2776,39.9,1
91303,Los Angeles,0,0,1,0.0,2503,108,4.3,0
91304,Los Angeles,0,0,1,46.6,9159,1026,11.2,0
91306,Los Angeles,0,0,1,0.0,9036,327,3.6,0
91307,Los Angeles,0,0,1,55.5,8242,778,9.4,0
91311,Los Angeles,0,0,1,73.9,8653,1196,13.8,0
91316,Los Angeles,0,0,1,29.4,5517,793,14.4,0
91320,Ventura,1,1,1,71.8,12671,1256,9.9,0
91321,Los Angeles,0,0,1,62.6,5315,1276,24.0,1
91324,Los Angeles,0,0,1,0.0,5375,161,3.0,0
91325,Los Angeles,0,0,1,0.0,6169,241,3.9,0
91326,Los Angeles,0,0,1,56.6,11183,1368,12.2,0
91331,Los Angeles,0,0,1,0.0,14564,1277,8.8,0
91335,Los Angeles,0,0,1,0.0,12818,624,4.9,0
91340,Los Angeles,0,0,1,0.0,5847,504,8.6,0
91342,Los Angeles,0,0,1,33.3,16690,2619,15.7,1
91343,Los Angeles,0,0,1,0.0,9459,368,3.9,0
91344,Los Angeles,0,0,1,36.1,14283,809,5.7,0
91345,Los Angeles,0,0,1,0.0,4197,186,4.4,0
91350,Los Angeles,0,0,1,67.1,11666,1369,11.7,0
91351,Los Angeles,0,0,1,65.0,7599,934,12.3,0
91352,Los Angeles,0,0,1,38.0,7730,981,12.7,0
91354,Los Angeles,0,0,1,64.4,8793,983,11.2,0
91355,Los Angeles,0,0,1,41.4,7630,295,3.9,0
91356,Los Angeles,0,0,1,33.9,5927,1235,20.8,1
91360,Ventura,1,1,1,49.2,11104,742,6.7,0
91361,Ventura,1,1,1,75.3,5999,1600,26.7,1
91362,Ventura,1,1,1,77.2,9334,1695,18.2,1
91364,Los Angeles,0,0,1,38.8,8490,1455,17.1,1
91367,Los Angeles,0,0,1,0.2,8816,547,6.2,0
91377,Ventura,1,1,1,78.5,3586,868,24.2,1
91381,Los Angeles,0,0,1,93.1,4821,1036,21.5,1
91384,Los Angeles,1,1,1,57.9,6157,2306,37.5,1
91387,Los Angeles,0,0,1,34.9,8045,2309,28.7,1
91390,Los Angeles,1,1,1,41.2,5489,1830,33.3,1
91401,Los Angeles,0,0,1,0.0,6065,222,3.7,0
91402,Los Angeles,0,0,1,0.0,6048,402,6.6,0
91403,Los Angeles,0,0,1,58.7,4575,840,18.4,1
91405,Los Angeles,0,0,1,0.0,5052,252,5.0,0
91406,Los Angeles,0,0,1,0.0,8748,306,3.5,0
91411,Los Angeles,0,0,1,0.0,2671,94,3.5,0
91423,Los Angeles,0,0,1,41.5,5621,858,15.3,1
91436,Los Angeles,0,0,1,59.7,4815,1008,20.9,1
91501,Los Angeles,0,0,1,78.6,2937,433,14.7,0
91502,Los Angeles,0,0,1,0.0,507,37,7.3,0
91504,Los Angeles,0,0,1,49.5,5221,600,11.5,0
