zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
92058,Oceanside,San Diego,6,13,18,33,166
94602,Oakland,Alameda,49,67,69,75,166
94112,San Francisco,San Francisco,32,32,26,32,165
95935,Dobbins,Yuba,81,99,119,141,165
92704,Santa Ana,Orange,84,82,80,87,163
93110,Santa Barbara,Santa Barbara,15,24,40,54,163
93453,Santa Margarita,San Luis Obispo,74,110,114,144,163
91401,Van Nuys,Los Angeles,128,117,109,116,162
95519,Mckinleyville,Humboldt,12,20,29,74,162
91803,Alhambra,Los Angeles,141,133,126,127,161
92603,Irvine,Orange,13,17,20,34,161
95648,Lincoln,Placer,22,42,45,80,161
91764,Ontario,San Bernardino,83,88,83,100,160
92277,Twentynine Palms,San Bernardino,39,55,42,70,160
93626,Friant,Fresno,40,48,70,86,160
95464,Nice,Lake,14,31,46,81,159
96093,Weaverville,Trinity,34,59,63,108,159
94517,Clayton,Contra Costa,6,7,31,55,158
94901,San Rafael,Marin,17,23,25,60,158
90040,Los Angeles,Los Angeles,177,170,167,158,157
90275,Rancho Palos Verdes,Los Angeles,60,60,58,68,157
92620,Irvine,Orange,13,18,19,45,157
93460,Santa Ynez,Santa Barbara,36,72,116,143,157
95257,Wilseyville,Calaveras,111,138,157,157,157
91724,Covina,Los Angeles,115,114,111,123,156
92582,San Jacinto,Riverside,38,40,61,78,156
93243,Lebec,Kern,55,64,85,115,156
96057,Mccloud,Siskiyou,67,84,87,119,156
93534,Lancaster,Los Angeles,59,54,51,78,155
94024,Los Altos,Santa Clara,28,45,64,90,155
95469,Potter Valley,Mendocino,72,91,95,133,155
92117,San Diego,San Diego,29,29,29,42,154
92115,San Diego,San Diego,41,39,41,55,153
92591,Temecula,Riverside,14,20,38,50,153
92692,Mission Viejo,Orange,27,31,24,42,153
95364,Pinecrest,Alpine,95,96,118,126,152
95563,Salyer,Trinity,97,114,112,117,152
91325,Northridge,Los Angeles,96,103,98,108,151
95251,Vallecito,Calaveras,71,108,113,136,150
95345,Midpines,Mariposa,84,98,112,123,150
96125,Sierra City,Sierra,77,96,115,134,150
92114,San Diego,San Diego,118,104,93,100,149
93651,Prather,Fresno,61,80,80,120,149
92377,Rialto,San Bernardino,42,43,42,61,147
92264,Palm Springs,Riverside,10,10,14,26,146
95720,Kyburz,El Dorado,128,145,140,152,146
95485,Upper Lake,Lake,42,56,64,102,145
95454,Laytonville,Mendocino,100,120,134,140,143
95630,Folsom,Sacramento,4,8,6,22,143
91780,Temple City,Los Angeles,101,96,87,99,142
94567,Pope Valley,Napa,94,112,140,150,142
96024,Douglas City,Trinity,81,105,106,122,142
90291,Venice,Los Angeles,139,130,122,126,141
94621,Oakland,Alameda,107,100,95,94,141
90260,Lawndale,Los Angeles,155,145,136,130,140
91345,Mission Hills,Los Angeles,112,104,97,109,139
91913,Chula Vista,San Diego,8,12,17,35,139
91007,Arcadia,Los Angeles,74,74,72,85,138
91759,Mount Baldy,San Bernardino,111,104,118,130,138
91915,Chula Vista,San Diego,7,6,10,17,138
92256,Morongo Valley,San Bernardino,40,35,39,66,138
92313,Grand Terrace,San Bernardino,18,25,22,44,138
95589,Whitethorn,Humboldt,64,79,72,100,138
92234,Cathedral City,Riverside,30,24,21,23,137
92317,Blue Jay,San Bernardino,100,117,125,129,136
96027,Etna,Siskiyou,29,58,62,92,136
95521,Arcata,Humboldt,22,37,44,68,135
91722,Covina,Los Angeles,126,120,109,112,134
92111,San Diego,San Diego,24,24,24,28,134
95636,Grizzly Flats,El Dorado,128,177,105,98,134
90274,Palos Verdes Peninsula,Los Angeles,38,41,49,76,133
93555,Ridgecrest,Kern,27,20,17,30,133
95205,Stockton,San Joaquin,111,111,105,101,133
96008,Bella Vista,Shasta,40,57,66,84,133
91601,North Hollywood,Los Angeles,141,137,129,127,131
92311,Barstow,San Bernardino,48,45,50,54,131
93634,Lakeshore,Fresno,0,0,120,115,131
91910,Chula Vista,San Diego,18,23,15,33,130
93514,Bishop,Inyo,19,21,30,49,130
94588,Pleasanton,Alameda,5,8,21,38,130
95456,Little River,Mendocino,17,26,44,69,130
90241,Downey,Los Angeles,132,123,116,120,129
93930,King City,Monterey,17,27,40,43,129
96032,Fort Jones,Siskiyou,52,62,73,92,129
90240,Downey,Los Angeles,118,114,111,107,128
94595,Walnut Creek,Contra Costa,9,21,25,41,128
92060,Palomar Mountain,San Diego,0,0,91,106,127
92103,San Diego,San Diego,68,54,56,73,127
92243,El Centro,Imperial,83,83,86,88,127
94551,Livermore,Alameda,13,13,15,27,127
94960,San Anselmo,Marin,10,15,20,44,127
92231,Calexico,Imperial,106,91,87,91,126
92070,Santa Ysabel,San Diego,53,84,114,127,125
94565,Pittsburg,Contra Costa,64,62,43,51,125
94952,Petaluma,Sonoma,17,15,43,76,125
95441,Geyserville,Sonoma,34,43,83,112,125
93449,Pismo Beach,San Luis Obispo,11,9,13,28,124
94903,San Rafael,Marin,6,6,16,25,124
94947,Novato,Marin,6,6,18,36,124
95554,Myers Flat,Humboldt,76,98,97,114,124
95981,Strawberry Valley,Yuba,83,100,182,213,124
91008,Duarte,Los Angeles,90,96,90,101,123
92703,Santa Ana,Orange,93,93,89,91,123
92705,Santa Ana,Orange,22,38,38,58,123
92014,Del Mar,San Diego,12,16,26,43,122
94542,Hayward,Alameda,21,30,30,42,122
94546,Castro Valley,Alameda,19,18,16,35,121
90804,Long Beach,Los Angeles,130,122,114,121,120
93920,Big Sur,Monterey,70,96,108,116,120
91754,Monterey Park,Los Angeles,100,99,92,102,119
92241,Desert Hot Springs,Riverside,16,16,21,34,119
93010,Camarillo,Ventura,15,30,36,46,119
95014,Cupertino,Santa Clara,19,29,74,51,119
95688,Vacaville,Solano,12,14,26,47,119
95460,Mendocino,Mendocino,26,33,46,60,118
92385,Skyforest,San Bernardino,66,87,98,105,117
93953,Pebble Beach,Monterey,27,39,59,70,117
94019,Half Moon Bay,San Mateo,27,50,57,82,117
96064,Montague,Siskiyou,15,26,48,66,117
92602,Irvine,Orange,7,17,18,31,116
92823,Brea,Orange,41,50,56,64,116
93455,Santa Maria,Santa Barbara,6,9,15,39,116
95306,Catheys Valley,Mariposa,15,38,62,65,116
94541,Hayward,Alameda,73,63,66,74,115
96041,Hayfork,Trinity,67,88,89,97,115
90038,Los Angeles,Los Angeles,125,112,106,101,114
90305,Inglewood,Los Angeles,116,104,99,95,114
92020,El Cajon,San Diego,11,12,13,25,114
92867,Orange,Orange,8,9,13,35,114
95127,San Jose,Santa Clara,49,52,52,61,114
90501,Torrance,Los Angeles,98,101,95,95,113
92260,Palm Desert,Riverside,15,12,19,24,113
95651,Lotus,El Dorado,50,63,64,89,113
95735,Twin Bridges,El Dorado,80,115,83,100,113
91740,Glendora,Los Angeles,58,51,55,64,112
94618,Oakland,Alameda,13,12,11,19,112
95560,Redway,Humboldt,55,83,101,111,112
91792,West Covina,Los Angeles,80,69,59,70,111
91911,Chula Vista,San Diego,15,16,15,24,111
93465,Templeton,San Luis Obispo,9,20,37,61,111
93628,Hume,Fresno,49,58,72,99,111
96106,Clio,Plumas,58,68,80,100,111
94606,Oakland,Alameda,69,61,61,54,110
94945,Novato,Marin,3,16,22,41,110
95916,Berry Creek,Butte,177,82,69,95,110
90638,La Mirada,Los Angeles,74,65,64,76,109
91205,Glendale,Los Angeles,112,102,96,95,109
92356,Lucerne Valley,San Bernardino,37,48,56,63,109
93669,Wishon,Madera,85,101,110,111,109
95007,Brookdale,Santa Cruz,0,0,0,0,109
96073,Palo Cedro,Shasta,34,38,51,76,109
92225,Blythe,Riverside,16,18,22,38,108
92707,Santa Ana,Orange,91,83,75,74,108
94110,San Francisco,San Francisco,65,61,52,48,108
95206,Stockton,San Joaquin,92,89,84,87,108
91355,Valencia,Los Angeles,10,10,10,19,107
93531,Keene,Kern,71,86,78,80,107
91786,Upland,San Bernardino,41,39,38,49,105
93066,Somis,Ventura,10,54,59,73,105
93702,Fresno,Fresno,79,71,91,70,105
94806,San Pablo,Contra Costa,64,58,59,61,105
95960,North San Juan,Nevada,85,88,103,103,105
91755,Monterey Park,Los Angeles,64,64,62,76,104
94501,Alameda,Alameda,80,80,75,78,104
92230,Cabazon,Riverside,12,14,37,62,103
92869,Orange,Orange,23,22,28,34,103
90604,Whittier,Los Angeles,99,102,96,103,102
93424,Avila Beach,San Luis Obispo,0,0,22,53,102
95004,Aromas,Monterey,11,21,30,54,102
94020,La Honda,San Mateo,45,59,81,92,101
94804,Richmond,Contra Costa,51,55,46,54,101
94949,Novato,Marin,3,10,19,25,101
93454,Santa Maria,Santa Barbara,35,48,64,73,100
95714,Dutch Flat,Placer,69,70,75,84,100
90048,Los Angeles,Los Angeles,79,75,63,62,99
93309,Bakersfield,Kern,36,31,29,38,99
93653,Raymond,Madera,28,57,64,76,99
94568,Dublin,Alameda,2,5,7,15,99
95023,Hollister,San Benito,25,47,39,46,99
95930,Clipper Mills,Butte,0,0,0,0,99
90710,Harbor City,Los Angeles,58,58,58,64,98
92408,San Bernardino,San Bernardino,76,72,67,64,98
93706,Fresno,Fresno,63,56,68,65,98
94801,Richmond,Contra Costa,76,80,68,70,98
95922,Camptonville,Yuba,63,81,81,92,98
91108,San Marino,Los Angeles,55,51,57,58,97
92262,Palm Springs,Riverside,16,16,17,28,97
93463,Solvang,Santa Barbara,7,15,21,47,97
93560,Rosamond,Kern,19,17,23,31,97
94060,Pescadero,San Mateo,37,58,82,95,97
90036,Los Angeles,Los Angeles,68,63,67,77,96
90703,Cerritos,Los Angeles,62,57,46,59,96
92010,Carlsbad,San Diego,7,10,12,25,96
92054,Oceanside,San Diego,11,12,13,30,96
93033,Oxnard,Ventura,20,27,24,42,96
95450,Jenner,Sonoma,37,50,80,91,96
96096,Whitmore,Shasta,48,68,56,78,96
91505,Burbank,Los Angeles,78,74,66,69,95
91763,Montclair,San Bernardino,50,50,50,60,95
92011,Carlsbad,San Diego,5,14,12,16,95
93101,Santa Barbara,Santa Barbara,18,23,24,38,95
96065,Montgomery Creek,Shasta,40,59,67,74,95
90005,Los Angeles,Los Angeles,73,77,68,68,94
95947,Greenville,Plumas,43,60,52,67,93
96101,Alturas,Modoc,13,16,23,33,93
93517,Bridgeport,Mono,26,35,42,65,92
94608,Emeryville,Alameda,83,66,63,70,92
95570,Trinidad,Humboldt,9,14,23,53,92
90066,Los Angeles,Los Angeles,72,73,63,66,91
90802,Long Beach,Los Angeles,65,60,55,59,91
91324,Northridge,Los Angeles,68,63,59,65,91
92104,San Diego,San Diego,71,66,66,68,91
94805,Richmond,Contra Costa,19,25,23,41,91
95465,Occidental,Sonoma,9,17,59,86,91
95543,Gasquet,Del Norte,34,83,85,94,91
96061,Mill Creek,Tehama,52,53,64,86,91
90034,Los Angeles,Los Angeles,106,94,92,89,90
90249,Gardena,Los Angeles,90,75,71,71,90
93505,California City,Kern,27,23,23,37,90
93638,Madera,Madera,14,14,28,50,90
96069,Oak Run,Shasta,48,55,55,71,90
90402,Santa Monica,Los Angeles,25,26,27,39,89
92701,Santa Ana,Orange,77,67,63,66,89
91106,Pasadena,Los Angeles,73,69,69,72,88
91941,La Mesa,San Diego,14,16,22,29,88
94523,Pleasant Hill,Contra Costa,12,11,10,19,88
95936,Downieville,Sierra,57,69,77,84,88
90012,Los Angeles,Los Angeles,70,79,69,74,87
91730,Rancho Cucamonga,San Bernardino,44,38,37,41,87
92091,Rancho Santa Fe,San Diego,20,32,43,50,87
93313,Bakersfield,Kern,30,32,28,35,87
94070,San Carlos,San Mateo,9,16,22,46,87
96047,Igo,Shasta,23,37,33,57,87
91303,Canoga Park,Los Angeles,75,80,75,76,86
93402,Los Osos,San Luis Obispo,11,22,32,49,86
94904,Greenbrae,Marin,14,33,32,42,86
94939,Larkspur,Marin,10,14,25,34,86
95112,San Jose,Santa Clara,92,81,70,54,86
95540,Fortuna,Humboldt,11,21,23,40,86
95663,Penryn,Placer,9,16,16,39,86
92201,Indio,Riverside,28,28,26,28,85
94925,Corte Madera,Marin,14,21,30,41,85
92059,Pala,San Diego,126,150,71,87,84
94577,San Leandro,Alameda,25,28,18,20,84
96124,Calpine,Sierra,29,45,55,62,84
92285,Landers,San Bernardino,56,55,56,69,82
95407,Santa Rosa,Sonoma,13,22,22,45,82
92081,Vista,San Diego,8,16,20,28,81
92122,San Diego,San Diego,9,12,10,19,81
92227,Brawley,Imperial,24,25,23,27,81
92833,Fullerton,Orange,24,25,23,36,81
93268,Taft,Kern,42,35,34,36,81
94014,Daly City,San Mateo,7,12,11,22,81
94122,San Francisco,San Francisco,19,17,15,21,81
95466,Philo,Mendocino,13,30,42,66,81
90024,Los Angeles,Los Angeles,34,31,32,39,80
92653,Laguna Hills,Orange,17,15,15,25,80
94513,Brentwood,Contra Costa,27,17,21,32,80
92008,Carlsbad,San Diego,13,19,22,29,79
92270,Rancho Mirage,Riverside,12,10,10,20,79
90015,Los Angeles,Los Angeles,68,64,76,78,78
92804,Anaheim,Orange,23,20,19,34,78
94509,Antioch,Contra Costa,35,37,32,30,78
96039,Happy Camp,Siskiyou,50,50,58,65,78
90715,Lakewood,Los Angeles,81,75,67,73,77
90716,Hawaiian Gardens,Los Angeles,89,87,79,80,77
91963,Potrero,San Diego,40,47,57,68,77
93633,Kings Canyon National Pk,Fresno,42,52,61,68,77
94603,Oakland,Alameda,88,78,71,67,77
94703,Berkeley,Alameda,28,27,27,37,77
95405,Santa Rosa,Sonoma,4,4,6,26,77
90701,Artesia,Los Angeles,73,72,70,65,76
91917,Dulzura,San Diego,46,56,63,68,76
94607,Oakland,Alameda,77,67,60,66,76
95415,Boonville,Mendocino,15,34,32,48,76
95452,Kenwood,Sonoma,8,5,26,41,76
96028,Fall River Mills,Shasta,7,11,22,41,76
96063,Mineral,Plumas,25,46,55,62,76
90035,Los Angeles,Los Angeles,61,58,60,52,75
91775,San Gabriel,Los Angeles,52,43,43,52,75
92282,Whitewater,Riverside,35,39,41,51,75
