zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
93527,Inyokern,Kern,22,23,27,28,50
93727,Fresno,Fresno,15,15,16,19,50
93933,Marina,Monterey,3,1,1,22,50
94550,Livermore,Alameda,27,27,33,41,50
94596,Walnut Creek,Contra Costa,9,10,9,10,50
94920,Belvedere Tiburon,Marin,12,16,14,23,50
95111,San Jose,Santa Clara,22,20,22,25,50
95501,Eureka,Humboldt,8,9,7,18,50
90814,Long Beach,Los Angeles,39,35,30,30,49
94510,Benicia,Solano,3,4,4,8,49
94702,Berkeley,Alameda,18,18,17,19,49
94933,Forest Knolls,Marin,19,24,29,46,49
95035,Milpitas,Santa Clara,3,4,5,6,49
95549,Kneeland,Humboldt,12,16,27,33,49
91723,Covina,Los Angeles,37,31,32,33,48
92870,Placentia,Orange,15,11,15,26,48
93067,Summerland,Santa Barbara,1,7,9,17,48
93441,Los Olivos,Santa Barbara,21,43,50,47,48
93442,Morro Bay,San Luis Obispo,5,6,17,23,48
94117,San Francisco,San Francisco,26,24,20,26,48
94525,Crockett,Contra Costa,9,12,8,16,48
94561,Oakley,Contra Costa,60,60,41,41,48
94923,Bodega Bay,Sonoma,16,16,24,31,48
90670,Santa Fe Springs,Los Angeles,44,43,41,47,47
92004,Borrego Springs,San Diego,12,19,21,21,47
93036,Oxnard,Ventura,15,19,17,28,47
95204,Stockton,San Joaquin,30,26,28,34,47
95717,Gold Run,Placer,30,35,40,40,47
92840,Garden Grove,Orange,8,7,5,10,46
93728,Fresno,Fresno,33,30,35,28,46
94598,Walnut Creek,Contra Costa,14,12,9,21,46
94706,Albany,Alameda,6,9,7,13,46
95122,San Jose,Santa Clara,31,30,31,26,46
95694,Winters,Yolo,4,11,23,31,46
95925,Challenge,Yuba,93,119,39,40,46
96044,Hornbrook,Siskiyou,10,16,19,33,46
91203,Glendale,Los Angeles,42,36,30,36,45
92108,San Diego,San Diego,2,3,5,5,45
92276,Thousand Palms,Riverside,20,23,21,23,45
93725,Fresno,Fresno,24,26,30,37,45
94025,Menlo Park,San Mateo,8,9,11,17,45
94582,San Ramon,Contra Costa,2,1,0,11,45
95361,Oakdale,Stanislaus,13,17,18,29,45
95428,Covelo,Mendocino,38,40,36,45,45
95494,Yorkville,Mendocino,11,21,30,44,45
95528,Carlotta,Humboldt,11,15,24,28,45
91942,La Mesa,San Diego,5,4,7,6,44
92342,Helendale,San Bernardino,13,14,13,18,44
92363,Needles,San Bernardino,11,12,10,19,44
92843,Garden Grove,Orange,10,8,7,11,44
93458,Santa Maria,Santa Barbara,2,2,2,0,44
93645,O Neals,Madera,20,22,30,30,44
95116,San Jose,Santa Clara,78,72,51,33,44
90058,Los Angeles,Los Angeles,53,53,51,47,43
90278,Redondo Beach,Los Angeles,31,26,28,34,43
92841,Garden Grove,Orange,2,2,4,6,43
94938,Lagunitas,Marin,9,16,22,26,43
95046,San Martin,Santa Clara,1,4,5,24,43
95351,Modesto,Stanislaus,10,7,9,15,43
90404,Santa Monica,Los Angeles,30,33,31,30,42
90630,Cypress,Orange,29,23,22,26,42
90732,San Pedro,Los Angeles,21,17,16,17,42
92139,San Diego,San Diego,21,20,22,24,42
92203,Indio,Riverside,9,8,10,13,42
93109,Santa Barbara,Santa Barbara,9,11,10,19,42
93622,Firebaugh,Fresno,8,8,7,11,42
95225,Burson,Calaveras,0,0,0,0,42
95468,Point Arena,Mendocino,4,7,17,23,42
95677,Rocklin,Placer,2,2,3,9,42
90232,Culver City,Los Angeles,45,42,37,41,41
92101,San Diego,San Diego,18,16,16,20,41
92110,San Diego,San Diego,26,22,22,24,41
92831,Fullerton,Orange,12,12,12,21,41
93440,Los Alamos,Santa Barbara,4,12,14,28,41
94080,South San Francisco,San Mateo,2,2,4,10,41
95138,San Jose,Santa Clara,5,4,7,10,41
95525,Blue Lake,Humboldt,23,22,25,29,41
95815,Sacramento,Sacramento,70,29,28,27,41
96126,Sierraville,Sierra,6,10,12,22,41
90020,Los Angeles,Los Angeles,28,21,24,26,40
91945,Lemon Grove,San Diego,16,16,12,17,40
92604,Irvine,Orange,1,1,4,10,40
92780,Tustin,Orange,7,8,3,6,40
95121,San Jose,Santa Clara,13,11,12,10,40
95123,San Jose,Santa Clara,7,6,6,11,40
95601,Amador City,Amador,0,0,0,0,40
96033,French Gulch,Shasta,7,10,15,27,40
92211,Palm Desert,Riverside,2,3,2,4,39
93541,Lee Vining,Mono,10,12,29,38,39
94027,Atherton,San Mateo,5,9,5,15,39
94123,San Francisco,San Francisco,11,11,15,17,39
95363,Patterson,Stanislaus,1,1,8,12,39
95820,Sacramento,Sacramento,41,27,28,24,39
95823,Sacramento,Sacramento,10,11,9,9,39
95983,Taylorsville,Plumas,23,24,26,35,39
96017,Castella,Shasta,20,25,30,42,39
96105,Chilcoot,Plumas,16,22,23,28,39
90212,Beverly Hills,Los Angeles,15,17,19,23,38
92647,Huntington Beach,Orange,6,7,6,11,38
93035,Oxnard,Ventura,12,15,14,16,38
94928,Rohnert Park,Sonoma,1,1,3,4,38
94946,Nicasio,Marin,9,13,31,37,38
95062,Santa Cruz,Santa Cruz,16,14,12,16,38
95125,San Jose,Santa Clara,10,14,15,15,38
95524,Bayside,Humboldt,3,4,8,14,38
90045,Los Angeles,Los Angeles,30,30,28,30,37
90503,Torrance,Los Angeles,23,20,20,21,37
90504,Torrance,Los Angeles,22,22,18,21,37
90505,Torrance,Los Angeles,19,18,19,19,37
92612,Irvine,Orange,0,0,1,3,37
92648,Huntington Beach,Orange,13,10,7,9,37
93277,Visalia,Tulare,4,3,7,12,37
93637,Madera,Madera,9,10,14,17,37
94511,Bethel Island,Contra Costa,0,0,26,29,37
94578,San Leandro,Alameda,12,14,9,10,37
95556,Orleans,Humboldt,28,29,39,46,37
96075,Paynes Creek,Tehama,18,27,27,29,37
92242,Earp,San Bernardino,7,7,6,7,36
93292,Visalia,Tulare,5,10,18,13,36
93314,Bakersfield,Kern,15,19,14,20,36
93430,Cayucos,San Luis Obispo,12,15,23,27,36
95135,San Jose,Santa Clara,5,3,1,10,36
95443,Glenhaven,Lake,2,6,19,28,36
95558,Petrolia,Humboldt,21,28,31,35,36
95562,Rio Dell,Humboldt,3,3,5,10,36
92365,Newberry Springs,San Bernardino,15,14,17,18,35
93703,Fresno,Fresno,19,14,22,16,35
94709,Berkeley,Alameda,16,14,15,16,35
95419,Camp Meeker,Sonoma,0,0,0,0,35
95471,Rio Nido,Sonoma,0,0,0,0,35
90403,Santa Monica,Los Angeles,25,32,25,25,34
92210,Indian Wells,Riverside,5,2,5,7,34
92627,Costa Mesa,Orange,16,11,5,12,34
92835,Fullerton,Orange,14,13,12,19,34
93040,Piru,Ventura,10,13,19,24,34
93311,Bakersfield,Kern,4,6,8,12,34
95207,Stockton,San Joaquin,10,9,10,17,34
95822,Sacramento,Sacramento,25,20,20,20,34
95972,Rackerby,Yuba,18,15,20,28,34
90028,Los Angeles,Los Angeles,38,39,36,33,33
90808,Long Beach,Los Angeles,16,19,19,22,33
91708,Chino,San Bernardino,6,7,7,9,33
92236,Coachella,Riverside,21,19,17,14,33
93030,Oxnard,Ventura,13,12,14,15,33
95132,San Jose,Santa Clara,10,9,11,16,33
95401,Santa Rosa,Sonoma,2,6,5,14,33
90680,Stanton,Orange,9,12,10,11,32
93654,Reedley,Fresno,8,6,14,14,32
94015,Daly City,San Mateo,8,9,9,17,32
94061,Redwood City,San Mateo,0,1,3,7,32
95307,Ceres,Stanislaus,9,8,9,8,32
95336,Manteca,San Joaquin,3,4,4,6,32
95350,Modesto,Stanislaus,6,9,6,8,32
95683,Sloughhouse,Sacramento,2,4,5,16,32
95926,Chico,Butte,1,3,3,5,32
90755,Signal Hill,Los Angeles,29,24,25,30,31
91934,Jacumba,San Diego,15,13,19,24,31
92649,Huntington Beach,Orange,9,10,9,9,31
92663,Newport Beach,Orange,8,8,9,15,31
92806,Anaheim,Orange,8,5,5,7,31
93221,Exeter,Tulare,3,3,6,6,31
94115,San Francisco,San Francisco,11,11,10,18,31
94132,San Francisco,San Francisco,6,9,9,8,31
94970,Stinson Beach,Marin,2,6,10,16,31
96107,Coleville,Mono,5,4,16,20,31
90254,Hermosa Beach,Los Angeles,13,14,13,17,30
92066,Ranchita,San Diego,19,23,24,25,30
92625,Corona Del Mar,Orange,7,7,6,11,30
93705,Fresno,Fresno,11,9,10,10,30
95110,San Jose,Santa Clara,36,34,34,32,30
95670,Rancho Cordova,Sacramento,1,4,2,7,30
90292,Marina Del Rey,Los Angeles,14,13,14,11,29
91932,Imperial Beach,San Diego,5,7,7,9,29
92251,Imperial,Imperial,16,17,14,15,29
93226,Glennville,Kern,18,22,20,25,29
94301,Palo Alto,Santa Clara,5,9,9,12,29
94303,Palo Alto,San Mateo,18,21,16,13,29
94503,American Canyon,Napa,1,1,0,2,29
94545,Hayward,Alameda,21,17,12,16,29
94957,Ross,Marin,1,6,5,12,29
95624,Elk Grove,Sacramento,3,2,2,7,29
95979,Stonyford,Colusa,6,4,11,18,29
96050,Klamath River,Siskiyou,29,32,34,26,29
92007,Cardiff By The Sea,San Diego,2,0,3,6,28
92106,San Diego,San Diego,11,10,11,11,28
93210,Coalinga,Fresno,20,17,20,26,28
93662,Selma,Fresno,2,2,11,8,28
93701,Fresno,Fresno,20,19,25,21,28
94518,Concord,Contra Costa,7,7,9,12,28
94589,Vallejo,Solano,11,12,11,15,28
95012,Castroville,Monterey,7,7,11,20,28
95126,San Jose,Santa Clara,31,31,30,27,28
95358,Modesto,Stanislaus,10,10,12,14,28
90293,Playa Del Rey,Los Angeles,7,8,8,11,27
94021,Loma Mar,San Mateo,7,16,24,26,27
94710,Berkeley,Alameda,26,25,23,25,27
95124,San Jose,Santa Clara,3,4,3,8,27
95140,Mount Hamilton,Santa Clara,13,17,17,22,27
95340,Merced,Merced,10,8,7,14,27
95550,Korbel,Humboldt,20,19,25,27,27
95628,Fair Oaks,Sacramento,2,8,4,10,27
95968,Palermo,Butte,2,3,6,11,27
96014,Callahan,Siskiyou,7,9,10,17,27
96040,Hat Creek,Shasta,5,5,7,15,27
96055,Los Molinos,Tehama,1,3,2,7,27
90713,Lakewood,Los Angeles,27,28,27,25,26
93286,Woodlake,Tulare,2,6,10,12,26
94109,San Francisco,San Francisco,8,7,8,11,26
94401,San Mateo,San Mateo,6,6,5,7,26
94403,San Mateo,San Mateo,0,0,1,14,26
95305,Big Oak Flat,Tuolumne,0,0,0,0,26
95354,Modesto,Stanislaus,6,8,6,8,26
95546,Hoopa,Humboldt,5,8,16,24,26
95816,Sacramento,Sacramento,13,10,11,18,26
95818,Sacramento,Sacramento,19,19,20,22,26
96086,Seiad Valley,Siskiyou,20,22,25,26,26
90056,Los Angeles,Los Angeles,24,17,15,17,25
92173,San Ysidro,San Diego,15,17,20,20,25
93647,Orosi,Tulare,5,8,14,13,25
94005,Brisbane,San Mateo,4,5,13,16,25
94520,Concord,Contra Costa,5,5,4,7,25
94585,Suisun City,Solano,11,8,9,16,25
95420,Caspar,Mendocino,5,7,11,19,25
95536,Ferndale,Humboldt,8,13,16,16,25
95747,Roseville,Placer,1,4,2,11,25
95758,Elk Grove,Sacramento,2,1,1,3,25
96111,Floriston,Nevada,21,22,23,25,25
93041,Port Hueneme,Ventura,3,4,6,6,24
93241,Lamont,Kern,20,18,19,18,24
93545,Lone Pine,Inyo,9,14,15,16,24
93726,Fresno,Fresno,10,5,5,3,24
94133,San Francisco,San Francisco,14,14,15,15,24
94538,Fremont,Alameda,4,5,6,10,24
95693,Wilton,Sacramento,3,5,3,5,24
95829,Sacramento,Sacramento,9,7,6,12,24
95963,Orland,Glenn,8,7,9,11,24
92706,Santa Ana,Orange,6,6,8,12,23
92802,Anaheim,Orange,13,11,12,12,23
93252,Maricopa,Kern,17,22,26,32,23
93704,Fresno,Fresno,16,14,15,14,23
93960,Soledad,Monterey,5,11,18,24,23
94579,San Leandro,Alameda,4,3,2,2,23
95254,Wallace,Calaveras,0,0,0,0,23
95337,Manteca,San Joaquin,9,11,10,15,23
95380,Turlock,Stanislaus,6,3,2,13,23
95432,Elk,Mendocino,7,15,20,20,23
95687,Vacaville,Solano,5,4,4,7,23
96109,Doyle,Lassen,5,8,14,13,23
90815,Long Beach,Los Angeles,21,23,20,12,22
92267,Parker Dam,San Bernardino,0,1,1,2,22
92614,Irvine,Orange,3,3,4,6,22
92844,Garden Grove,Orange,1,1,3,5,22
93250,Mc Farland,Kern,5,4,7,6,22
93280,Wasco,Kern,8,9,8,16,22
93621,Dunlap,Fresno,10,13,14,19,22
93905,Salinas,Monterey,3,3,3,6,22
93955,Seaside,Monterey,0,0,2,6,22
94074,San Gregorio,San Mateo,10,8,13,20,22
94599,Yountville,Napa,1,2,6,10,22
95017,Davenport,Santa Cruz,16,10,15,19,22
95355,Modesto,Stanislaus,7,5,5,9,22
95377,Tracy,San Joaquin,11,11,9,14,22
95488,Westport,Mendocino,7,11,11,20,22
95673,Rio Linda,Sacramento,8,9,10,11,22
96121,Milford,Lassen,3,5,7,11,22
92832,Fullerton,Orange,14,7,8,12,21
93516,Boron,Kern,6,6,8,3,21
93612,Clovis,Fresno,2,3,5,5,21
93650,Fresno,Fresno,6,3,4,3,21
93906,Salinas,Monterey,3,2,2,4,21
94037,Montara,San Mateo,6,9,11,13,21
94306,Palo Alto,Santa Clara,2,2,1,5,21
94505,Discovery Bay,Contra Costa,2,2,3,4,21
94555,Fremont,Alameda,3,3,3,4,21
94612,Oakland,Alameda,17,15,14,17,21
94924,Bolinas,Marin,4,4,9,15,21
95128,San Jose,Santa Clara,7,7,7,9,21
95136,San Jose,Santa Clara,1,0,0,3,21
95348,Merced,Merced,2,4,3,7,21
95376,Tracy,San Joaquin,3,3,3,5,21
95429,Dos Rios,Mendocino,15,16,16,16,21
95493,Witter Springs,Lake,5,5,7,12,21
95548,Klamath,Del Norte,3,6,10,14,21
95565,Scotia,Humboldt,1,1,5,11,21
95608,Carmichael,Sacramento,10,6,10,8,21
95662,Orangevale,Sacramento,1,0,1,7,21
95691,West Sacramento,Yolo,29,30,6,29,21
95692,Wheatland,Yuba,2,4,4,8,21
93212,Corcoran,Kings,18,15,21,16,20
93263,Shafter,Kern,9,12,11,14,20
93630,Kerman,Fresno,3,8,12,14,20
93720,Fresno,Fresno,5,4,1,1,20
94103,San Francisco,San Francisco,12,9,9,11,20
95212,Stockton,San Joaquin,4,4,3,6,20
95463,Navarro,Mendocino,0,0,0,0,20
95585,Leggett,Mendocino,6,6,8,17,20
95605,West Sacramento,Yolo,2,0,1,9,20
95833,Sacramento,Sacramento,13,9,8,7,20
96010,Big Bar,Trinity,13,16,16,13,20
90017,Los Angeles,Los Angeles,11,12,14,12,19
95202,Stockton,San Joaquin,12,11,13,14,19
95240,Lodi,San Joaquin,3,4,6,6,19
95369,Snelling,Merced,1,2,6,8,19
95699,Drytown,Amador,0,0,0,0,19
95817,Sacramento,Sacramento,24,24,23,17,19
95824,Sacramento,Sacramento,15,10,10,7,19
95984,Twain,Plumas,15,21,23,23,19
93711,Fresno,Fresno,6,7,9,11,18
93925,Chualar,Monterey,3,9,15,18,18
94576,Deer Park,Napa,12,13,15,15,18
94940,Marshall,Marin,8,8,11,14,18
94963,San Geronimo,Marin,3,5,7,8,18
95210,Stockton,San Joaquin,9,7,6,7,18
95821,Sacramento,Sacramento,14,7,9,12,18
92118,Coronado,San Diego,3,2,3,5,17
92868,Orange,Orange,8,3,5,7,17
93513,Big Pine,Inyo,4,3,2,8,17
93610,Chowchilla,Madera,4,4,10,17,17
95129,San Jose,Santa Clara,3,3,3,4,17
95133,San Jose,Santa Clara,2,4,5,6,17
95341,Merced,Merced,16,9,6,10,17
95427,Comptche,Mendocino,10,11,12,15,17
95736,Weimar,Placer,0,0,0,0,17
95827,Sacramento,Sacramento,1,3,4,5,17
95961,Olivehurst,Yuba,3,17,4,8,17
90720,Los Alamitos,Orange,7,3,4,7,16
92254,Mecca,Riverside,6,6,8,11,16
92661,Newport Beach,Orange,3,5,4,2,16
93223,Farmersville,Tulare,3,3,9,5,16
93254,New Cuyama,Santa Barbara,10,10,13,24,16
93635,Los Banos,Merced,5,6,6,10,16
93950,Pacific Grove,Monterey,2,1,2,6,16
94063,Redwood City,San Mateo,7,8,6,10,16
94107,San Francisco,San Francisco,10,8,10,9,16
95008,Campbell,Santa Clara,1,2,2,6,16
95118,San Jose,Santa Clara,30,27,26,13,16
95226,Campo Seco,Calaveras,0,0,0,0,16
95322,Gustine,Merced,1,1,1,3,16
95412,Annapolis,Sonoma,6,15,19,20,16
95569,Redcrest,Humboldt,8,9,14,18,16
95610,Citrus Heights,Sacramento,3,4,3,7,16
95660,North Highlands,Sacramento,7,10,6,7,16
95681,Sheridan,Placer,0,2,3,3,16
95991,Yuba City,Sutter,2,4,3,3,16
96023,Dorris,Siskiyou,4,8,8,10,16
96058,Macdoel,Siskiyou,5,10,10,12,16
91502,Burbank,Los Angeles,11,9,10,12,15
93255,Onyx,Kern,3,9,9,10,15
94089,Sunnyvale,Santa Clara,0,0,0,2,15
94572,Rodeo,Contra Costa,11,11,8,9,15
94580,San Lorenzo,Alameda,7,7,7,6,15
94922,Bodega,Sonoma,0,0,11,11,15
94929,Dillon Beach,Marin,4,3,4,6,15
94931,Cotati,Sonoma,4,0,1,4,15
95050,Santa Clara,Santa Clara,4,4,2,4,15
95209,Stockton,San Joaquin,9,9,8,8,15
95219,Stockton,San Joaquin,6,6,5,5,15
95356,Modesto,Stanislaus,1,2,2,4,15
95567,Smith River,Del Norte,2,4,3,13,15
95587,Piercy,Mendocino,15,13,9,13,15
95632,Galt,Sacramento,1,1,5,9,15
95637,Guinda,Yolo,0,2,5,9,15
95678,Roseville,Placer,1,4,2,3,15
95695,Woodland,Yolo,4,4,4,6,15
95765,Rocklin,Placer,0,1,1,3,15
95842,Sacramento,Sacramento,4,2,4,7,15
96015,Canby,Modoc,0,2,7,9,15
96038,Grenada,Siskiyou,1,1,2,3,15
96104,Cedarville,Modoc,3,3,3,9,15
90021,Los Angeles,Los Angeles,11,11,11,13,14
90740,Seal Beach,Orange,9,8,9,9,14
92250,Holtville,Imperial,5,7,5,8,14
92257,Niland,Imperial,4,3,3,8,14
92624,Capistrano Beach,Orange,3,4,4,7,14
93245,Lemoore,Kings,1,1,2,4,14
93523,Edwards,Kern,5,3,3,6,14
93646,Orange Cove,Fresno,14,13,16,13,14
94018,El Granada,San Mateo,0,0,0,0,14
94560,Newark,Alameda,10,8,7,6,14
95051,Santa Clara,Santa Clara,2,2,2,4,14
95514,Blocksburg,Humboldt,9,8,19,18,14
95595,Zenia,Trinity,15,17,15,9,14
95742,Rancho Cordova,Sacramento,1,0,0,5,14
95811,Sacramento,Sacramento,6,6,7,10,14
95993,Yuba City,Sutter,3,1,1,1,14
96113,Herlong,Lassen,0,0,0,5,14
96129,Beckwourth,Plumas,4,4,4,10,14
92347,Hinkley,San Bernardino,2,2,3,5,13
92368,Oro Grande,San Bernardino,2,4,3,4,13
92398,Yermo,San Bernardino,4,5,4,6,13
92626,Costa Mesa,Orange,7,4,6,7,13
92866,Orange,Orange,3,3,2,3,13
93206,Buttonwillow,Kern,6,3,6,6,13
93267,Strathmore,Tulare,4,2,8,5,13
93611,Clovis,Fresno,4,4,3,4,13
93618,Dinuba,Tulare,2,3,6,6,13
93901,Salinas,Monterey,4,5,4,4,13
94038,Moss Beach,San Mateo,2,1,3,9,13
94086,Sunnyvale,Santa Clara,3,4,3,5,13
95119,San Jose,Santa Clara,0,1,0,1,13
95315,Delhi,Merced,0,0,0,1,13
95391,Tracy,San Joaquin,0,0,0,0,13
95555,Orick,Humboldt,4,4,9,8,13
95757,Elk Grove,Sacramento,2,3,3,2,13
95864,Sacramento,Sacramento,3,2,0,2,13
95939,Elk Creek,Glenn,3,2,12,9,13
96035,Gerber,Tehama,0,0,1,1,13
92655,Midway City,Orange,1,2,2,3,12
92861,Villa Park,Orange,1,3,4,5,12
92865,Orange,Orange,4,5,6,5,12
93247,Lindsay,Tulare,3,6,5,4,12
93270,Terra Bella,Tulare,4,5,7,6,12
93433,Grover Beach,San Luis Obispo,1,1,3,3,12
93452,San Simeon,San Luis Obispo,7,7,12,13,12
93932,Lockwood,Monterey,2,9,10,10,12
95010,Capitola,Santa Cruz,1,1,1,3,12
95301,Atwater,Merced,7,9,7,7,12
95357,Modesto,Stanislaus,5,5,6,6,12
95367,Riverbank,Stanislaus,1,1,0,1,12
95551,Loleta,Humboldt,0,3,4,8,12
95621,Citrus Heights,Sacramento,2,2,5,8,12
95934,Crescent Mills,Plumas,7,8,7,12,12
96076,Platina,Shasta,11,13,10,12,12
96115,Lake City,Modoc,0,0,0,2,12
90245,El Segundo,Los Angeles,5,5,4,4,11
92273,Seeley,Imperial,0,0,0,0,11
92606,Irvine,Orange,3,1,4,3,11
93710,Fresno,Fresno,4,3,3,5,11
94087,Sunnyvale,Santa Clara,2,1,2,3,11
94304,Palo Alto,Santa Clara,2,5,5,6,11
94519,Concord,Contra Costa,7,7,7,6,11
94569,Port Costa,Contra Costa,2,1,2,7,11
95131,San Jose,Santa Clara,1,1,2,4,11
95134,San Jose,Santa Clara,0,0,1,1,11
95304,Tracy,San Joaquin,5,2,3,4,11
95511,Alderpoint,Humboldt,11,15,17,12,11
95620,Dixon,Solano,3,1,0,2,11
95831,Sacramento,Sacramento,4,2,3,5,11
95841,Sacramento,Sacramento,3,2,2,3,11
95910,Alleghany,Sierra,12,13,13,13,11
95944,Goodyears Bar,Sierra,6,7,7,9,11
96046,Hyampom,Trinity,13,30,20,19,11
90623,La Palma,Orange,7,7,7,8,10
93434,Guadalupe,Santa Barbara,7,6,5,6,10
93562,Trona,San Bernardino,4,5,2,3,10
93563,Valyermo,Los Angeles,5,6,8,10,10
93723,Fresno,Fresno,12,11,9,10,10
94040,Mountain View,Santa Clara,3,3,3,4,10
94043,Mountain View,Santa Clara,1,1,1,3,10
94404,San Mateo,San Mateo,2,1,2,3,10
94571,Rio Vista,Solano,2,1,1,2,10
95075,Tres Pinos,San Benito,0,0,2,7,10
95117,San Jose,Santa Clara,2,2,2,3,10
95230,Farmington,San Joaquin,3,4,3,4,10
95320,Escalon,San Joaquin,3,3,5,18,10
95334,Livingston,Merced,3,5,5,5,10
95626,Elverta,Sacramento,2,1,3,7,10
95679,Rumsey,Yolo,4,6,5,9,10
95776,Woodland,Yolo,0,2,0,0,10
95819,Sacramento,Sacramento,3,6,5,7,10
95932,Colusa,Colusa,2,1,5,5,10
96085,Scott Bar,Siskiyou,9,13,11,10,10
96108,Davis Creek,Modoc,1,1,2,4,10
90013,Los Angeles,Los Angeles,3,5,4,5,9
92249,Heber,Imperial,5,5,3,6,9
92401,San Bernardino,San Bernardino,15,13,14,11,9
93256,Pixley,Tulare,1,3,9,5,9
93287,Woody,Kern,3,6,6,7,9
93609,Caruthers,Fresno,4,5,6,6,9
94102,San Francisco,San Francisco,5,7,5,6,9
94105,San Francisco,San Francisco,0,1,1,3,9
95220,Acampo,San Joaquin,2,1,4,6,9
95326,Hughson,Stanislaus,3,2,2,2,9
95330,Lathrop,San Joaquin,2,0,2,1,9
95368,Salida,Stanislaus,0,0,0,1,9
95382,Turlock,Stanislaus,3,4,6,2,9
95417,Branscomb,Mendocino,3,4,7,9,9
95547,Hydesville,Humboldt,0,1,2,1,9
95661,Roseville,Placer,0,2,2,4,9
95826,Sacramento,Sacramento,6,4,2,5,9
95832,Sacramento,Sacramento,2,2,4,2,9
95948,Gridley,Butte,2,3,3,6,9
90067,Los Angeles,Los Angeles,2,3,2,2,8
92258,North Palm Springs,Riverside,2,2,2,2,8
93201,Alpaugh,Tulare,0,0,0,0,8
93244,Lemon Cove,Tulare,0,0,5,5,8
93445,Oceano,San Luis Obispo,1,0,0,1,8
93730,Fresno,Fresno,2,2,2,1,8
95139,San Jose,Santa Clara,1,1,1,3,8
95242,Lodi,San Joaquin,3,2,2,3,8
95360,Newman,Stanislaus,1,2,1,3,8
95388,Winton,Merced,2,2,2,3,8
95641,Isleton,Sacramento,5,6,5,6,8
95834,Sacramento,Sacramento,2,3,1,0,8
95835,Sacramento,Sacramento,0,0,0,1,8
95843,Antelope,Sacramento,2,0,1,2,8
96054,Lookout,Modoc,2,5,6,7,8
96089,Shasta Lake,Shasta,0,0,0,0,8
92845,Garden Grove,Orange,0,0,1,1,7
93219,Earlimart,Tulare,6,8,6,4,7
93262,Sequoia National Park,Tulare,4,5,5,7,7
93450,San Ardo,Monterey,0,7,5,7,7
93620,Dos Palos,Merced,1,2,3,5,7
93660,San Joaquin,Fresno,1,1,1,5,7
93721,Fresno,Fresno,5,5,7,6,7
93737,Fresno,Fresno,1,3,2,2,7
94085,Sunnyvale,Santa Clara,0,0,1,1,7
94305,Stanford,Santa Clara,2,1,2,3,7
94502,Alameda,Alameda,1,1,2,2,7
95231,French Camp,San Joaquin,2,1,1,3,7
95317,El Nido,Merced,1,1,0,7,7
95627,Esparto,Yolo,1,0,0,1,7
95638,Herald,Sacramento,1,4,5,5,7
95825,Sacramento,Sacramento,3,3,2,2,7
95953,Live Oak,Sutter,7,8,9,7,7
96112,Fort Bidwell,Modoc,1,2,3,3,7
96116,Likely,Modoc,0,0,1,1,7
90094,Playa Vista,Los Angeles,0,1,2,2,6
92233,Calipatria,Imperial,3,2,4,4,6
92239,Desert Center,Riverside,0,0,0,1,6
93204,Avenal,Kings,1,1,1,9,6
93249,Lost Hills,Kern,1,3,1,3,6
93526,Independence,Inyo,2,4,4,4,6
93615,Cutler,Tulare,4,4,4,3,6
93625,Fowler,Fresno,1,2,6,1,6
93631,Kingsburg,Fresno,4,6,5,6,6
93926,Gonzales,Monterey,3,5,7,6,6
94514,Byron,Contra Costa,4,4,4,3,6
95064,Santa Cruz,Santa Cruz,1,1,1,3,6
95386,Waterford,Stanislaus,3,3,2,2,6
95568,Somes Bar,Siskiyou,3,6,7,7,6
95618,Davis,Yolo,0,1,1,5,6
95690,Walnut Grove,Sacramento,1,2,3,4,6
95814,Sacramento,Sacramento,4,4,4,5,6
95988,Willows,Glenn,4,2,2,4,6
96009,Bieber,Lassen,0,0,0,0,6
96031,Forks Of Salmon,Siskiyou,8,7,7,7,6
96034,Gazelle,Siskiyou,5,6,7,8,6
96134,Tulelake,Siskiyou,5,6,1,4,6
90014,Los Angeles,Los Angeles,0,0,0,0,5
90742,Sunset Beach,Orange,2,2,2,2,5
92280,Vidal,San Bernardino,2,1,1,1,5
92281,Westmorland,Imperial,3,3,3,4,5
93528,Johannesburg,Kern,3,4,4,4,5
94158,San Francisco,San Francisco,6,3,5,5,5
95019,Freedom,Santa Cruz,0,0,0,0,5
95227,Clements,San Joaquin,0,0,0,0,5
95316,Denair,Stanislaus,0,0,0,0,5
95328,Keyes,Stanislaus,1,0,0,0,5
95333,Le Grand,Merced,0,0,1,2,5
95607,Capay,Yolo,0,1,2,6,5
96006,Adin,Modoc,1,2,4,8,5
96117,Litchfield,Lassen,0,1,0,0,5
96128,Standish,Lassen,0,0,2,4,5
96133,Topaz,Mono,0,1,1,2,5
90089,Los Angeles,Los Angeles,8,8,7,5,4
90743,Surfside,Orange,0,0,2,3,4
91980,Tecate,San Diego,4,3,2,4,4
92318,Bryn Mawr,San Bernardino,0,1,0,0,4
93235,Ivanhoe,Tulare,1,1,1,1,4
93656,Riverdale,Fresno,1,2,1,2,4
94041,Mountain View,Santa Clara,0,0,0,0,4
94108,San Francisco,San Francisco,1,1,1,1,4
94592,Vallejo,Solano,0,0,0,0,4
95002,Alviso,Santa Clara,6,7,5,5,4
95039,Moss Landing,Monterey,0,1,1,1,4
95054,Santa Clara,Santa Clara,1,0,1,1,4
95236,Linden,San Joaquin,0,0,0,4,4
95365,Planada,Merced,7,7,4,5,4
