coverage_end,policy_count,exposure,premium,source_note
2023-09-30,320572,284000000000,,FY2023 PIF rollup. Exposure imputed from Aug 2024 snapshot ("$393B at June 2024 is a 38.3% increase since September 2023") -> $393B / 1.383 ~= $284B.
2023-12-31,339044,311640000000,,Mar 2024 web snapshot: PIF 339044 (from chart title in the snapshot image — text only gives an ambiguous "29% policies through December 2023" so the chart figure is the canonical value). Exposure $311.64B stated directly in same snapshot.
2024-03-31,364694,340000000000,,July 2024 web snapshot: PIF 364694 from chart title (text-derived "14% policies through March 2024" had ambiguous baseline). Exposure $340B stated directly in same snapshot.
2024-06-30,408432,393000000000,,Aug 2024 web snapshot: PIF 408432 from chart title (matches the snapshot text's "27% since September 2023" to within rounding). Exposure $393B stated directly in same snapshot.
2024-12-31,516313,529000000000,1600000000,Mar 2025 web snapshot ("as of December 2024, total PIF 516313, exposure $529B, written premium $1.6B").
2025-03-31,573739,599000000000,1740000000,April 2025 web snapshot ("as of March 2025, total PIF 573739, exposure $599B, written premium $1.74B").
